Year,Sublocation,Survey_type,UTM_E,UTM_N,Datum,Grubbing_PresenceAbsence,Grubbing_Intensity,VegetationType_as_provided,DataShepherd,SpatialScale_GrubbingRecording,VegetationType_reclassified,Location_Valley,UTMZone,GrubbingType
2018,Passdalen,Valleywalk,505204,8657731,ED1950,0,0.15,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,505216,8657720,ED1950,0,0.15,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,505253,8657685,ED1950,0,0.15,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,505361,8657582,ED1950,0,0.375,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,505373,8657570,ED1950,0,0.025,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,505385,8657559,ED1950,0,0.375,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,505397,8657547,ED1950,0,0.025,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,505469,8657478,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,505481,8657467,ED1950,0,0.75,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,504565,8657330,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,504603,8657366,ED1950,0,0.15,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,504691,8657451,ED1950,1,0.025,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,504703,8657464,ED1950,0,0.15,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,504741,8657500,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,504779,8657536,ED1950,0,0.025,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,504791,8657548,ED1950,0,0.025,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,504867,8657621,ED1950,0,0.025,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,504892,8657646,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,504929,8657682,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,504955,8657706,ED1950,0,0.15,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,504967,8657718,ED1950,0,0.15,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,505017,8657767,ED1950,0,0.15,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,505030,8657779,ED1950,0,0.15,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,504076,8657367,ED1950,0,0.375,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,504097,8657366,ED1950,0,0.025,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,504312,8657355,ED1950,0,0.025,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,504333,8657354,ED1950,1,0.025,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,504355,8657353,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,504397,8657351,ED1950,0,0.025,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Kalvdalen,Valleywalk,508071,8649910,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Kalvdalen,Valleywalk,508049,8649902,ED1950,0,0.025,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Kalvdalen,Valleywalk,507525,8649710,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Kalvdalen,Valleywalk,507503,8649702,ED1950,0,0.15,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Kalvdalen,Valleywalk,507350,8649646,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
